subj,session,run,run_trial,context,cue_idx,cue,context_switch,cue_switch,hue_switch,ori_switch,hue,ori,congruent,hue_diff,ori_diff,hue_prop,ori_prop,hue_strength,ori_strength,context_prop,context_strength,iti_trs,iti,break,trial_time_tr,cue_time,stim_time,target_response,context_diff,distract_diff,distract_strength,distract_prop,cue_onset,stim_onset,correct,rt,response,key,stim_frames,dropped_frames,answered,log_switch_lag,log_switch_surprise
ti01,a,1,0,hue,1,3,True,True,hue,hue,red,left,True,hard,easy,0.46,0.25,0.04,0.25,0.46,0.04,0,0.0,False,0.0,0.02,0.72,False,hard,easy,0.25,0.25,0.0405969619751,0.714215993881,False,1.75033402443,1.0,9.0,105,0,True,0.0,0.0
ti01,a,1,1,hue,1,3,False,False,hue,hue,green,left,False,hard,easy,0.54,0.25,0.04,0.25,0.54,0.04,2,1.44,False,6.0,4.34,5.04,True,hard,easy,0.25,0.25,4.33203291893,5.04904389381,True,1.15073299408,1.0,9.0,69,0,True,0.69314718056,0.0
ti01,a,1,2,hue,1,3,False,False,hue,hue,green,right,True,hard,hard,0.54,0.53,0.04,0.03,0.54,0.04,1,0.72,False,14.0,10.1,10.8,True,hard,hard,0.03,0.53,10.0837638378,10.8005619049,True,0.966552019119,1.0,9.0,58,0,True,1.09861228867,0.0
ti01,a,1,3,ori,0,4,True,True,ori,ori,red,left,True,hard,hard,0.46,0.47,0.04,0.03,0.47,0.03,1,0.72,False,21.0,15.14,15.84,False,hard,hard,0.04,0.46,15.1186740398,15.8520388603,False,1.45085287094,1.0,9.0,87,0,True,0.0,0.69314718056
ti01,a,1,4,hue,0,6,True,True,hue,hue,green,right,True,easy,hard,0.64,0.53,0.14,0.03,0.64,0.14,1,0.72,False,28.0,20.18,20.88,True,easy,hard,0.03,0.53,20.170085907,20.8868649006,True,1.13444495201,1.0,9.0,68,0,True,0.0,0.0
ti01,a,1,5,hue,1,3,False,True,hue,hue,green,left,False,easy,hard,0.64,0.47,0.14,0.03,0.64,0.14,9,6.48,False,35.0,25.22,25.92,True,easy,hard,0.03,0.47,25.2049639225,25.9214630127,True,1.03394699097,1.0,9.0,62,0,True,0.69314718056,0.0
ti01,a,1,6,ori,0,4,True,True,ori,ori,red,left,True,hard,easy,0.46,0.25,0.04,0.25,0.25,0.25,1,0.72,False,50.0,36.02,36.72,False,easy,hard,0.04,0.46,36.0081110001,36.7248568535,True,1.7338218689,0.0,4.0,104,0,True,0.0,0.0
ti01,a,1,7,ori,1,5,False,True,ori,ori,green,left,False,hard,easy,0.54,0.25,0.04,0.25,0.25,0.25,0,0.0,False,57.0,41.06,41.76,False,easy,hard,0.04,0.54,41.0430688858,41.7597429752,True,1.23542094231,0.0,4.0,75,0,True,0.69314718056,0.0
ti01,a,1,8,ori,1,5,False,False,ori,ori,red,left,True,hard,easy,0.46,0.25,0.04,0.25,0.25,0.25,4,2.88,False,63.0,45.38,46.08,False,easy,hard,0.04,0.46,45.3609349728,46.0944468975,False,1.15141296387,1.0,9.0,69,0,True,1.09861228867,0.0
ti01,a,1,9,ori,0,4,False,True,ori,ori,green,right,True,easy,hard,0.64,0.53,0.14,0.03,0.53,0.03,0,0.0,False,73.0,52.58,53.28,True,hard,easy,0.14,0.64,52.5629909039,53.2800519466,True,1.38343501091,1.0,9.0,83,0,True,1.38629436112,0.69314718056
ti01,a,1,10,ori,0,4,False,False,ori,ori,green,right,True,hard,hard,0.54,0.53,0.04,0.03,0.53,0.03,3,2.16,False,79.0,56.9,57.6,True,hard,hard,0.04,0.54,56.8809390068,57.6146290302,True,1.51748514175,1.0,9.0,91,0,True,1.60943791243,1.09861228867
ti01,a,1,11,ori,0,4,False,False,ori,ori,green,right,True,hard,easy,0.54,0.75,0.04,0.25,0.75,0.25,3,2.16,False,88.0,63.38,64.08,True,easy,hard,0.04,0.54,63.366412878,64.0834248066,True,1.05017995834,1.0,9.0,63,0,True,1.79175946923,1.38629436112
ti01,a,1,12,hue,1,3,True,True,hue,hue,red,right,False,easy,hard,0.36,0.53,0.14,0.03,0.36,0.14,1,0.72,False,97.0,69.86,70.56,False,easy,hard,0.03,0.53,69.8349058628,70.5684728622,True,1.25043797493,0.0,4.0,75,0,True,0.0,1.60943791243
ti01,a,1,13,ori,1,5,True,True,ori,ori,red,left,True,hard,hard,0.46,0.47,0.04,0.03,0.47,0.03,0,0.0,False,104.0,74.9,75.6,False,hard,hard,0.04,0.46,74.8865158558,75.6034388542,False,1.31769704819,1.0,9.0,79,0,True,0.0,0.0
